SRA,Name,Sample Name,ID,Sequencing Library,SampleID,Sample_type,Sequencing_type,Mean_phred_score,Raw_paired_reads,QC_trimmed_paired_reads,Nonhost_paired_reads,Collectors
SRR4425674,SRR4425674,SwineMetagenomeUMID,SwineD,PFe22_L007,O,Swine,Metagenome-UMI,34.76,44768383,43286138,42669326,MW  ED  PR
SRR4425713,SRR4425713,BeefResistomeC,BeefC,P1,A,Beef,Resistome,35.13,77039651,75563200,75553635,MW  ED
SRR4425715,SRR4425715,PoultryResistomeA,PoultryA,P11,B,Poultry,Resistome,35.29,79085858,77663091,77637710,MW  CY
SRR4425714,SRR4425714,PoultryResistomeB,PoultryB,P13,C,Poultry,Resistome,35.3,68593272,67303369,67150270,ED  PR
SRR4425711,SRR4425711,PoultryResistomeC,PoultryC,P14,D,Poultry,Resistome,35.09,60300646,58935479,58927418,ED  PR
SRR4425710,SRR4425710,PoultryResistomeD,PoultryD,P15,E,Poultry,Resistome,35.1,64406575,62860933,62835454,MW  CY
SRR4425663,SRR4425663,WWTPResistomeA,WWTPA,P16,F,WWTP,Resistome,35.11,66189927,64544945,64544294,MW  ER
SRR4425664,SRR4425664,WWTPResistomeB,WWTPB,P17,G,WWTP,Resistome,35.23,57451574,55938878,55938350,MW  ER
SRR4425665,SRR4425665,WWTPResistomeC,WWTPC,P18,H,WWTP,Resistome,35.13,67117783,65557726,65555670,MW  ER
SRR4425666,SRR4425666,WWTPResistomeD,WWTPD,P19,I,WWTP,Resistome,35.13,58896123,57008827,57007322,MW  ER
SRR4425712,SRR4425712,BeefResistomeD,BeefD,P2,J,Beef,Resistome,35.17,64882157,63549891,63480996,MW  ED
SRR4425719,SRR4425719,BeefResistomeA,BeefA,P3,K,Beef,Resistome,35.42,57384617,56370067,56291705,MW  ED
SRR4425718,SRR4425718,BeefResistomeB,BeefB,P4,L,Beef,Resistome,35.06,65773051,64371386,64139852,MW  ED
SRR4425659,SRR4425659,SwineResistomeA,SwineA,P6,M,Swine,Resistome,35.03,77099190,75247518,74976248,MW  ED  PR
SRR4425660,SRR4425660,SwineResistomeB,SwineB,P7,N,Swine,Resistome,35.14,60071692,58633687,58046005,MW  ED  PR
SRR4425661,SRR4425661,SwineResistomeC,SwineC,P8,O,Swine,Resistome,35.13,54718082,53276704,53138800,MW  ED  PR
SRR4425662,SRR4425662,SwineResistomeD,SwineD,P9,P,Swine,Resistome,35.25,70422457,68940518,68683191,MW  ED  PR
SRR4425706,SRR4425706,BeefResistomeUMIC,BeefC,BFe2_L001,A,Beef,Resistome-UMI,35.01,48723273,46556063,46504910,MW  ED
SRR4425704,SRR4425704,PoultryResistomeUMIA,PoultryA,AFe25_L004,B,Poultry,Resistome-UMI,34.18,56029729,52070951,52021008,MW  CY
SRR4425703,SRR4425703,PoultryResistomeUMIB,PoultryB,AFe20_L003,C,Poultry,Resistome-UMI,34.55,50853119,47721201,47688415,ED  PR
SRR4425702,SRR4425702,PoultryResistomeUMIC,PoultryC,AFe9_L002,D,Poultry,Resistome-UMI,34.49,46644905,42653810,42641799,ED  PR
SRR4425701,SRR4425701,PoultryResistomeUMID,PoultryD,AFe1_L001,E,Poultry,Resistome-UMI,34,52774147,48089402,48073028,MW  CY
SRR4425669,SRR4425669,WWTPResistomeUMIA,WWTPA,HBHw1_L001,F,WWTP,Resistome-UMI,35.01,55980454,53793926,53792965,MW  ER
SRR4425670,SRR4425670,WWTPResistomeUMIB,WWTPB,HBHw2_L002,G,WWTP,Resistome-UMI,34.67,44037424,42158294,42157442,MW  ER
SRR4425667,SRR4425667,WWTPResistomeUMIC,WWTPC,HBHw3_L003,H,WWTP,Resistome-UMI,34.54,27572607,24448725,24448241,MW  ER
SRR4425668,SRR4425668,WWTPResistomeUMID,WWTPD,HBHw4_L004,I,WWTP,Resistome-UMI,34.65,41860765,39866910,39866279,MW  ER
SRR4425705,SRR4425705,BeefResistomeUMID,BeefD,BFe39_L004,J,Beef,Resistome-UMI,34.78,44122611,40293213,40228417,MW  ED
SRR4425657,SRR4425657,BeefResistomeUMIA,BeefA,BFe11_L002,K,Beef,Resistome-UMI,34.63,55103006,52398347,52378158,MW  ED
SRR4425658,SRR4425658,BeefResistomeUMIB,BeefB,BFe13_L003,L,Beef,Resistome-UMI,34.63,57645408,55179771,55084532,MW  ED
SRR4425700,SRR4425700,SwineResistomeUMIA,SwineA,PFe16_L002,M,Swine,Resistome-UMI,33.88,43358181,39882120,39196685,MW  ED  PR
SRR4425699,SRR4425699,SwineResistomeUMIB,SwineB,PFe37_L004,N,Swine,Resistome-UMI,34.75,49384187,47148078,46407162,MW  ED  PR
SRR4425698,SRR4425698,SwineResistomeUMIC,SwineC,PFe13_L001,O,Swine,Resistome-UMI,34.8,30968128,29260207,29007457,MW  ED  PR
SRR4425697,SRR4425697,SwineResistomeUMID,SwineD,PFe22_L003,O,Swine,Resistome-UMI,34.57,55302270,51882541,51549792,MW  ED  PR
